epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.906,1.16603,2.13136,1.51399,0.38846,0.4067,0.37709,0.22405,1.197,1.57175,1.46112,0.00332468,0.00332468,0.0700779
2,89.1643,1.14139,1.49338,1.47993,0.47813,0.45001,0.44157,0.2718,1.24,1.2875,1.53815,0.00665729,0.00665729,0.0400772
3,131.952,1.1946,1.43349,1.5275,0.46939,0.4058,0.42367,0.26107,1.32184,1.59733,1.66664,0.009987,0.009987,0.0100736
4,181.286,1.23374,1.43305,1.56804,0.57342,0.51677,0.51939,0.32945,1.26659,1.15278,1.58516,0.00999023,0.00999023,0.00999023
5,237.616,1.19289,1.33368,1.5323,0.58975,0.50732,0.54396,0.35743,1.21185,1.11738,1.53094,0.00998264,0.00998264,0.00998264
6,293.238,1.16592,1.26885,1.50785,0.65967,0.55615,0.58608,0.40546,1.10359,0.98234,1.46672,0.00997288,0.00997288,0.00997288
7,368.411,1.14835,1.2271,1.49335,0.70243,0.57458,0.61475,0.43012,1.06999,0.9282,1.41696,0.00996097,0.00996097,0.00996097
8,426.763,1.11516,1.16104,1.47348,0.67111,0.54798,0.60391,0.40623,1.09557,0.942,1.46681,0.0099469,0.0099469,0.0099469
9,479.806,1.105,1.12787,1.46124,0.74868,0.63102,0.68403,0.47675,1.03583,0.82229,1.40158,0.00993068,0.00993068,0.00993068
10,531.579,1.07726,1.08227,1.44554,0.67368,0.59754,0.6201,0.44091,0.99506,0.87024,1.37719,0.00991232,0.00991232,0.00991232
11,603.918,1.07089,1.0557,1.43767,0.79898,0.64705,0.72098,0.51176,1.01224,0.76036,1.35973,0.00989183,0.00989183,0.00989183
12,662.997,1.05487,1.05123,1.4304,0.77889,0.62954,0.70977,0.53132,0.94688,0.73943,1.29749,0.00986922,0.00986922,0.00986922
13,723.468,1.05689,1.03546,1.42408,0.80001,0.66372,0.7492,0.54186,0.98457,0.71441,1.33527,0.00984449,0.00984449,0.00984449
14,798.694,1.03908,1.00263,1.41604,0.77116,0.66265,0.72491,0.52355,0.95462,0.73316,1.31624,0.00981765,0.00981765,0.00981765
15,865.54,1.02983,0.974,1.4028,0.82058,0.6473,0.75375,0.56765,0.87494,0.70749,1.28852,0.00978873,0.00978873,0.00978873
16,919.46,1.02195,0.97925,1.40581,0.80919,0.66463,0.75066,0.56661,0.88878,0.68321,1.28017,0.00975773,0.00975773,0.00975773
17,998.916,1.01288,0.96169,1.39005,0.73161,0.65798,0.73567,0.53696,0.9019,0.77117,1.28678,0.00972466,0.00972466,0.00972466
18,1057.5,1.00112,0.93612,1.38395,0.80456,0.6735,0.75876,0.56005,0.92877,0.69428,1.29186,0.00968955,0.00968955,0.00968955
19,1121.16,1.00039,0.93516,1.39083,0.72623,0.69206,0.73855,0.55807,0.84718,0.67263,1.23144,0.00965239,0.00965239,0.00965239
20,1174.03,0.98692,0.90697,1.37525,0.80296,0.67276,0.74639,0.57849,0.82463,0.64356,1.22115,0.00961322,0.00961322,0.00961322
21,1233.64,0.98633,0.91617,1.37979,0.82115,0.66853,0.77993,0.59193,0.84184,0.62019,1.23298,0.00957205,0.00957205,0.00957205
22,1303.5,0.9786,0.89531,1.36944,0.84687,0.67702,0.78238,0.59366,0.87122,0.63207,1.24014,0.00952889,0.00952889,0.00952889
23,1356.34,0.97012,0.88482,1.35877,0.80069,0.68544,0.77815,0.59813,0.80943,0.62482,1.21962,0.00948377,0.00948377,0.00948377
24,1434.4,0.96712,0.86859,1.35559,0.82617,0.68869,0.78439,0.60128,0.85674,0.63241,1.23058,0.00943671,0.00943671,0.00943671
25,1492.47,0.95314,0.86343,1.35306,0.83097,0.6775,0.77508,0.59838,0.83378,0.63865,1.21202,0.00938772,0.00938772,0.00938772
26,39.1237,0.94687,0.85181,1.34188,0.8485,0.67866,0.78991,0.60068,0.8742,0.59299,1.23759,0.00933683,0.00933683,0.00933683
27,74.9256,0.94526,0.84752,1.34758,0.81113,0.69882,0.78854,0.59706,0.84724,0.62163,1.23444,0.00928405,0.00928405,0.00928405
28,110.808,0.94853,0.83745,1.34628,0.86528,0.65728,0.78164,0.5845,0.92528,0.6269,1.26322,0.00922942,0.00922942,0.00922942
29,146.719,0.93943,0.81379,1.34233,0.88379,0.68739,0.7939,0.6163,0.82734,0.58051,1.21959,0.00917296,0.00917296,0.00917296
30,185.868,0.9335,0.80694,1.33231,0.83508,0.70576,0.79353,0.61602,0.81151,0.60201,1.20496,0.00911469,0.00911469,0.00911469
31,236.247,0.92343,0.81545,1.32486,0.82115,0.69304,0.79327,0.61662,0.79512,0.58246,1.18925,0.00905463,0.00905463,0.00905463
32,61.5027,0.8848,0.76308,1.29631,0.87765,0.65856,0.79282,0.6225,0.81295,0.59622,1.20071,0.00899282,0.00899282,0.00899282
33,104.806,0.87985,0.75305,1.2971,0.86872,0.70127,0.79328,0.61352,0.80223,0.57374,1.20039,0.00892928,0.00892928,0.00892928
34,151.373,0.88496,0.74392,1.29856,0.78535,0.72373,0.80374,0.6114,0.86677,0.5753,1.22941,0.00886404,0.00886404,0.00886404
35,206.429,0.87734,0.7218,1.2955,0.82283,0.74083,0.81164,0.63048,0.83877,0.54914,1.21291,0.00879713,0.00879713,0.00879713
36,269.522,0.87042,0.72192,1.28583,0.81805,0.72345,0.79834,0.62061,0.78898,0.60873,1.19629,0.00872857,0.00872857,0.00872857
37,316.448,0.86736,0.73385,1.28514,0.8586,0.7046,0.80437,0.63533,0.76494,0.54125,1.17319,0.00865839,0.00865839,0.00865839
38,378.238,0.91548,0.78864,1.31892,0.81705,0.69645,0.79042,0.61935,0.76925,0.5805,1.17229,0.00858664,0.00858664,0.00858664
39,449.286,0.89614,0.76149,1.30792,0.8647,0.68595,0.8019,0.62449,0.79191,0.58374,1.19567,0.00851333,0.00851333,0.00851333
40,65.6627,0.84595,0.70071,1.26641,0.85785,0.70903,0.80616,0.64127,0.7598,0.55302,1.17007,0.00843851,0.00843851,0.00843851
41,128.183,0.83542,0.68849,1.26572,0.80683,0.7327,0.79456,0.61333,0.78894,0.57332,1.18414,0.0083622,0.0083622,0.0083622
42,187.579,0.84009,0.67679,1.26656,0.82487,0.72646,0.7973,0.62284,0.80417,0.56103,1.18967,0.00828443,0.00828443,0.00828443
43,241.936,0.83232,0.6678,1.26205,0.88632,0.69256,0.8154,0.64301,0.79219,0.52847,1.17464,0.00820525,0.00820525,0.00820525
44,298.295,0.82814,0.6578,1.25553,0.85402,0.7456,0.82387,0.65129,0.77405,0.53258,1.18425,0.00812468,0.00812468,0.00812468
45,345.241,0.82108,0.66638,1.25359,0.82538,0.75156,0.83107,0.64748,0.77945,0.5171,1.17644,0.00804277,0.00804277,0.00804277
46,408.403,0.85317,0.6969,1.27196,0.85787,0.74289,0.82544,0.65584,0.75655,0.52329,1.1552,0.00795954,0.00795954,0.00795954
47,462.693,0.84242,0.6875,1.26887,0.84409,0.71065,0.82105,0.64839,0.76419,0.54864,1.1726,0.00787503,0.00787503,0.00787503
48,518.128,0.88247,0.73903,1.29241,0.85367,0.74061,0.82483,0.65493,0.75583,0.51778,1.1593,0.00778929,0.00778929,0.00778929
49,581.105,0.87493,0.73095,1.29381,0.84082,0.72314,0.81573,0.64635,0.75567,0.53148,1.15425,0.00770234,0.00770234,0.00770234
50,638.153,0.87935,0.72529,1.29097,0.8604,0.72516,0.82027,0.65077,0.74924,0.53041,1.15242,0.00761423,0.00761423,0.00761423
51,692.796,0.8733,0.73186,1.29033,0.82995,0.75903,0.82564,0.66133,0.74849,0.49532,1.13935,0.007525,0.007525,0.007525
52,757.936,0.87645,0.72334,1.28715,0.84873,0.75509,0.83017,0.66771,0.74349,0.50017,1.13957,0.00743468,0.00743468,0.00743468
53,826.72,0.87007,0.72128,1.29092,0.87521,0.71546,0.82529,0.6714,0.70801,0.51528,1.11977,0.00734332,0.00734332,0.00734332
54,887.634,0.86325,0.70726,1.27743,0.83123,0.77109,0.83824,0.67301,0.73724,0.50703,1.14464,0.00725094,0.00725094,0.00725094
55,949.413,0.86119,0.71104,1.28589,0.87877,0.72472,0.83142,0.66696,0.73937,0.4889,1.13143,0.00715761,0.00715761,0.00715761
56,1013.49,0.857,0.69793,1.27574,0.82576,0.7472,0.82667,0.67117,0.72196,0.48876,1.11374,0.00706335,0.00706335,0.00706335
57,1075.45,0.84554,0.68537,1.26932,0.88687,0.74647,0.84633,0.68198,0.75137,0.4864,1.13276,0.0069682,0.0069682,0.0069682
58,1129.34,0.85575,0.69496,1.28187,0.89491,0.73687,0.83282,0.68117,0.71585,0.47799,1.10917,0.00687222,0.00687222,0.00687222
59,1185.68,0.84487,0.67885,1.26609,0.87971,0.74824,0.83699,0.68473,0.71181,0.47845,1.11626,0.00677543,0.00677543,0.00677543
60,67.9179,0.8005,0.63251,1.23412,0.88198,0.73868,0.83613,0.68977,0.70017,0.47497,1.10954,0.00667789,0.00667789,0.00667789
61,134.103,0.79647,0.63006,1.23407,0.87301,0.74585,0.83343,0.67381,0.72902,0.48644,1.12428,0.00657963,0.00657963,0.00657963
